,load_position_id,city_count,city_name,0,1
115,1881,84,上海宝山区,121.409042358,31.3986225128
116,1718,84,上海闵行,121.42502594,31.093536377
117,1198,41,玉林,110.151672363,22.6439743042
118,1122,116,南宁,108.297233582,22.8064937592
119,1270,56,郴州,113.037704468,25.7822647095
120,1033,142,靖江市,120.276901245,32.0394439697
121,1178,45,娄底,111.996398926,27.7410736084
122,1469,51,莒县,118.893585205,35.6558761597
123,1148,91,邯郸市,114.482696533,36.6093063354
124,1012,72,邢台,114.167747498,37.1524238586
125,1243,36,临汾,111.538787842,36.0997467041
126,1245,59,运城,111.006851196,35.038860321
127,1991,42,沂水,118.609359741,35.9143676758
128,2365,35,费县,117.985839844,35.2549705505
129,1163,69,宿州,116.988693237,33.6367721558
130,1397,62,淮北,116.7914505,33.9600219727
131,1571,28,莱州,120.001342773,37.1903991699
132,1401,58,丹阳市,119.644302368,31.9602622986
133,1168,46,鹰潭,117.035453796,28.2413101196
134,2712,41,象山,121.858665466,29.3787708282
135,1449,50,霸州市,116.574302673,39.1093215942
136,1436,60,廊坊,116.703605652,39.518611908
137,1075,110,诸暨市,120.281433105,29.6993999481
138,1050,100,蚌埠,117.357078552,32.9295005798
139,2472,59,湘西州,109.745742798,28.3179512024
140,1179,104,怀化,109.986961365,27.5574836731
141,1406,79,姜堰市,120.090812683,32.5264511108
142,1247,116,沧州,116.863807678,38.2976150513
143,1013,104,唐山,118.183448792,39.6505317688
144,1027,91,仪征,119.200958252,32.3926353455
145,1174,41,益阳,112.366546631,28.5880870819
146,2886,76,浦口库/大众代办发运,118.630340576,32.0718002319
147,1067,208,青岛,120.384429932,36.1052131653
148,1568,55,即墨,120.521102905,36.4879074097
149,1357,41,桐庐市,119.704345703,29.8226394653
150,6938,66,济南中转库,117.356880188,36.7193756104
151,1360,105,上虞市,120.889434814,29.9780406952
152,1024,25,大庆,125.021842957,46.5967102051
153,1254,22,齐齐哈尔,123.987289429,47.3476982117
154,2653,47,铜仁市,109.168556213,27.6749038696
155,1292,35,安顺,105.928268433,26.2285957336
156,1077,88,湖州,120.137245178,30.8779258728
157,1529,32,长兴县,119.819419861,30.9833526611
158,1143,92,太原,112.550865173,37.8902778625
159,1833,35,晋中,112.738517761,37.6933631897
160,1145,26,忻州,112.727935791,38.4610328674
161,1366,35,兰溪市,119.533340454,29.2841014862
162,2402,49,平度,119.951065063,36.7885513306
163,1049,75,淮南,117.018638611,32.6428108215
164,1864,61,邹平,117.670806885,36.9565925598
165,1569,63,胶州,119.95941925,36.2480316162
166,1338,101,马鞍山,118.515884399,31.6885280609
167,1056,88,滁州,118.324569702,32.3173522949
168,1386,62,铜陵,117.918518066,30.9523582458
169,1057,90,安庆,117.058738708,30.53789711
170,1506,19,河津市,110.70854187,35.6318893433
171,1119,55,深圳,114.025970459,22.5460548401
172,1117,59,广州,113.307647705,23.1200485229
173,1176,61,常德,111.653717041,29.0121498108
174,2540,51,胶南,119.856307983,35.8528594971
175,1892,62,松江区,121.226791382,31.0212440491
176,1458,20,武安,114.058334351,36.7489967346
177,1200,34,六盘水,104.852088928,26.5918655396
178,2711,25,高密,119.702514648,36.3873176575
179,1358,25,建德市,119.37953186,29.48711586
180,2021,22,吴忠,106.208251953,37.993560791
181,1219,36,银川,106.206481934,38.502620697
182,1393,38,新余,114.947120667,27.8223228455
183,2140,30,莒南县,118.890075684,35.2131233215
184,1116,34,商丘,115.64188385,34.4385871887
185,2163,15,永城市,116.3307724,33.9720115662
186,1349,35,朔州,112.479927063,39.3376731873
187,1147,49,大同,113.583862305,40.0016288757
188,1448,21,孝感,113.93573761,30.9279556274
189,2533,25,江山,118.607086182,28.5819702148
190,1042,64,盐城,120.148872375,33.379863739
191,1039,43,连云港,119.173873901,34.6015472412
192,1407,59,高邮,119.503410339,32.8359451294
193,1025,41,安亭,121.16860199,31.2943344116
194,1026,25,南京,118.778076172,32.0572357178
195,1023,36,哈尔滨,126.657714844,45.773223877
196,1160,16,绥化,126.989097595,46.6460647583
197,1389,64,永州,111.614646912,26.4359722137
198,1014,51,秦皇岛,119.604370117,39.9454612732
199,1009,27,长治,113.086196899,36.0246810913
200,1246,30,晋城,112.867332458,35.4998321533
201,1667,16,毕节地区,105.293281555,27.3046531677
202,1127,21,成都,104.0679245,30.6799430847
203,1128,18,德阳,104.402397156,31.1311397552
204,1450,36,如东,121.059242249,32.3876609802
205,2185,25,章丘市,117.479347229,36.744884491
206,1471,44,任丘,116.163215637,38.741104126
207,1194,13,赤峰,118.930763245,42.2971115112
208,1241,14,锡林浩特,116.118499756,44.4897537231
209,1273,29,十堰,110.801231384,32.6369934082
210,2180,49,三门县,121.488227844,29.0177440643
211,1177,39,吉首,109.770927429,28.3171424866
212,2399,76,浦江,119.910484314,29.526266098
213,1008,20,阳泉,113.569236755,37.8695297241
214,1444,31,东莞,113.763435364,23.0430240631
215,1279,60,信阳,114.085487366,32.1285820007
216,1278,30,驻马店,114.049156189,32.9831581116
217,1498,14,南京南站,118.804412842,31.9750823975
218,2608,16,咸阳市区,108.707511902,34.3453712463
219,1038,60,徐州,117.188110352,34.2715530396
220,1908,14,邳州市,117.903060913,34.4029464722
221,2335,27,毕节,105.333320618,27.4085617065
222,1096,12,瑞金,115.985870361,25.921831131
223,1011,43,衡水,115.686225891,37.7469291687
224,2295,39,德清,120.049827576,30.5675830841
225,1114,29,南阳,112.54283905,33.0114212036
226,1413,40,嘉善县,120.908874512,30.9057483673
227,1195,24,百色,106.631820679,23.901512146
228,2876,14,迁安,115.585800171,37.5568962097
229,1061,32,诸城,119.416412354,36.0021286011
230,1416,46,淄博,118.059135437,36.8046836853
231,2413,60,北京市区,116.437652588,39.9604148865
232,1259,43,泰安,117.089416504,36.188079834
233,1280,28,平顶山,113.300849915,33.745300293
234,1277,32,漯河,114.046058655,33.5762786865
235,1111,32,许昌,113.835258484,34.0485153198
236,1403,60,宿迁,118.296890259,33.9520492554
237,1197,16,北海,109.122627258,21.4727172852
238,2671,15,崇明,121.535400391,31.6335659027
239,1262,73,枣庄,117.279304504,34.8078842163
240,1505,36,荆州,112.099853516,30.3961029053
241,1184,19,咸宁,114.300064087,29.880657196
242,1905,18,招远,120.400520325,37.3441467285
243,2900,23,池州,117.494476318,30.6600189209
244,1165,20,巢湖,117.880493164,31.6087322235
245,1472,28,定州,115.057403564,38.465839386
246,1124,32,桂林,110.260917664,25.2629013062
247,1192,35,惠州,114.41065979,23.1135406494
248,1276,25,荆门,112.217330933,31.0426101685
249,1112,15,周口,114.654098511,33.6237411499
250,1435,80,嵊州,120.761428833,29.5910072327
251,1258,36,黄山,118.077545166,30.2777462006
252,1381,35,中山,113.422058105,22.5451774597
253,1120,21,珠海,113.562446594,22.2569141388
254,1045,19,江都市,119.701667786,32.5398674011
255,1040,57,淮阴区,118.935661316,33.6640586853
256,1291,13,河池,108.069946289,24.6995201111
257,1290,31,柳州,109.422401428,24.3290538788
258,2091,17,双鸭山市-作废,131.178253174,46.6573104858
259,1161,23,佳木斯,130.284729004,46.8137817383
260,2381,8,永城,116.44393158,33.9304504395
261,2099,9,西峡县,111.438987732,33.4869232178
262,1221,8,石嘴山,106.379333496,39.0202217102
263,1021,25,长春,125.313644409,43.8983383179
264,1156,16,延吉,129.471298218,43.0596656799
265,2252,16,平度old,119.968589783,36.7897262573
266,1426,8,天长市,118.972915649,32.7212142944
267,1687,10,济源2,112.673690796,35.0878829956
